source_id,target_id
4327,P00004
4851,P00004
4853,P00004
4854,P00004
4855,P00004
5045,P00004
5046,P00004
51176,P00004
5122,P00004
5126,P00004
51384,P00004
53353,P00004
54361,P00004
54760,P00004
55851,P00004
5663,P00004
5664,P00004
57113,P00004
58,P00004
5818,P00004
59,P00004
60,P00004
64066,P00004
64386,P00004
6868,P00004
6934,P00004
70,P00004
71,P00004
72,P00004
7220,P00004
7223,P00004
7224,P00004
7225,P00004
7471,P00004
7472,P00004
7473,P00004
7474,P00004
7475,P00004
7476,P00004
7477,P00004
7478,P00004
7479,P00004
7480,P00004
7481,P00004
7482,P00004
7483,P00004
7484,P00004
7855,P00004
7976,P00004
80326,P00004
81029,P00004
8321,P00004
8322,P00004
8323,P00004
8324,P00004
8325,P00004
8326,P00004
83439,P00004
83464,P00004
8510,P00004
89780,P00004
9159,P00004
9313,P00004
960,P00004
999,P00004
10000,P00005
100137049,P00005
10297,P00005
10683,P00005
10750,P00005
10817,P00005
10818,P00005
11317,P00005
1398,P00005
1399,P00005
1409,P00005
1410,P00005
1432,P00005
1499,P00005
1796,P00005
182,P00005
1855,P00005
1856,P00005
1857,P00005
1947,P00005
1948,P00005
2042,P00005
2047,P00005
2048,P00005
2049,P00005
207,P00005
208,P00005
2113,P00005
2149,P00005
2152,P00005
2155,P00005
2246,P00005
2260,P00005
2353,P00005
23683,P00005
23779,P00005
2535,P00005
25759,P00005
25865,P00005
283748,P00005
284,P00005
285,P00005
28514,P00005
2886,P00005
2888,P00005
2932,P00005
3091,P00005
324,P00005
3265,P00005
3315,P00005
332,P00005
3516,P00005
369,P00005
3714,P00005
3716,P00005
3725,P00005
3791,P00005
387,P00005
388,P00005
389,P00005
392,P00005
4214,P00005
4690,P00005
4846,P00005
4851,P00005
4853,P00005
4855,P00005
4893,P00005
5058,P00005
5062,P00005
5063,P00005
5154,P00005
5155,P00005
5156,P00005
5159,P00005
5286,P00005
5287,P00005
5289,P00005
5290,P00005
5291,P00005
5293,P00005
5294,P00005
5295,P00005
5296,P00005
5321,P00005
5335,P00005
5336,P00005
5337,P00005
5338,P00005
54567,P00005
55615,P00005
5578,P00005
5579,P00005
5580,P00005
5581,P00005
5582,P00005
5583,P00005
5584,P00005
5587,P00005
5588,P00005
5590,P00005
5594,P00005
5595,P00005
5599,P00005
56034,P00005
5604,P00005
5605,P00005
56848,P00005
5747,P00005
5787,P00005
5829,P00005
5894,P00005
5921,P00005
6416,P00005
6464,P00005
6654,P00005
6655,P00005
6714,P00005
673,P00005
6772,P00005
6774,P00005
6932,P00005
6934,P00005
7010,P00005
7041,P00005
7422,P00005
7471,P00005
7472,P00005
7474,P00005
7476,P00005
7477,P00005
7480,P00005
7482,P00005
7855,P00005
7867,P00005
7976,P00005
79930,P00005
80310,P00005
80326,P00005
81029,P00005
8312,P00005
8321,P00005
842,P00005
8440,P00005
8503,P00005
8605,P00005
8788,P00005
8877,P00005
9046,P00005
9047,P00005
9261,P00005
9404,P00005
10000,P00006
10017,P00006
10018,P00006
100529063,P00006
11016,P00006
1147,P00006
122953,P00006
1386,P00006
1388,P00006
1390,P00006
1616,P00006
1965,P00006
2021,P00006
207,P00006
208,P00006
22926,P00006
2353,P00006
2999,P00006
3002,P00006
317,P00006
329,P00006
330,P00006
3303,P00006
3304,P00006
3305,P00006
3306,P00006
3309,P00006
331,P00006
3310,P00006
3312,P00006
3482,P00006
355,P00006
3551,P00006
356,P00006
3725,P00006
4049,P00006
4050,P00006
4170,P00006
4214,P00006
4217,P00006
466,P00006
467,P00006
468,P00006
4790,P00006
4791,P00006
4792,P00006
5290,P00006
5291,P00006
5293,P00006
5294,P00006
54205,P00006
5578,P00006
5579,P00006
5580,P00006
5581,P00006
5582,P00006
5583,P00006
5588,P00006
5594,P00006
5595,P00006
5599,P00006
5601,P00006
5602,P00006
5606,P00006
5609,P00006
5610,P00006
56616,P00006
578,P00006
581,P00006
5871,P00006
596,P00006
5966,P00006
5970,P00006
5971,P00006
598,P00006
599,P00006
638,P00006
6416,P00006
666,P00006
7009,P00006
7124,P00006
7132,P00006
7133,P00006
7157,P00006
7186,P00006
836,P00006
840,P00006
841,P00006
842,P00006
843,P00006
8491,P00006
8567,P00006
8575,P00006
8717,P00006
8737,P00006
8738,P00006
8743,P00006
8772,P00006
8793,P00006
8794,P00006
8795,P00006
8797,P00006
8837,P00006
9020,P00006
9131,P00006
9448,P00006
9530,P00006
9531,P00006
1020,P00007
10371,P00007
10507,P00007
10570,P00007
1400,P00007
1807,P00007
1808,P00007
2242,P00007
2444,P00007
2534,P00007
387,P00007
5058,P00007
5361,P00007
5364,P00007
56896,P00007
5879,P00007
5880,P00007
8829,P00007
9138,P00007
1630,P00008
22854,P00008
25,P00008
389,P00008
4917,P00008
57522,P00008
5879,P00008
5880,P00008
59277,P00008
6091,P00008
6387,P00008
6585,P00008
6586,P00008
7852,P00008
84628,P00008
9353,P00008
